Date,AAPL,BA,CME,CVX,GS,IBM,MMM,TEVA,XOM
2020-03-02,298.80999755859375,289.2699890136719,208.57696533203125,96.58999633789062,209.47000122070312,134.30000305175778,153.02000427246094,11.68000030517578,53.88000106811523
2020-03-03,289.32000732421875,280.6199951171875,215.2207489013672,94.38999938964844,203.42999267578125,128.89999389648438,145.24000549316406,11.210000038146973,51.29999923706055
2020-03-04,302.739990234375,283.1199951171875,222.75103759765625,98.52999877929688,208.7400054931641,134.22000122070312,153.97999572753906,11.369999885559082,52.41999816894531
2020-03-05,292.9200134277344,260.3699951171875,220.9481506347656,97.19000244140624,198.7899932861328,129.55000305175778,151.41000366210938,10.979999542236328,50.11000061035156
2020-03-06,289.0299987792969,262.32998657226557,215.4099884033203,95.31999969482422,192.8500061035156,127.7300033569336,153.64999389648438,10.300000190734863,47.68999862670898
2020-03-09,266.17001342773443,227.1699981689453,204.91000366210938,80.66999816894531,172.80999755859375,117.80999755859376,144.05999755859375,8.880000114440918,41.86000061035156
2020-03-10,285.3399963378906,231.00999450683597,207.00999450683597,84.9800033569336,184.3500061035156,124.7699966430664,153.3000030517578,9.369999885559082,43.40999984741211
2020-03-11,275.42999267578125,189.0800018310547,194.67999267578125,83.02999877929688,171.88999938964844,117.97000122070312,147.24000549316406,9.010000228881836,41.97999954223633
2020-03-12,248.22999572753903,154.83999633789062,172.30999755859375,76.26000213623047,150.67999267578125,102.80999755859376,133.58000183105472,7.800000190734862,37.18000030517578
2020-03-13,277.97000122070307,170.1999969482422,182.00999450683597,83.41999816894531,177.1699981689453,107.9499969482422,141.67999267578125,8.399999618530272,38.11999893188477
2020-03-16,242.2100067138672,129.61000061035156,148.5399932861328,69.69999694824219,154.66000366210938,99.08000183105469,130.91000366210938,7.1500000953674325,34.490001678466804
2020-03-17,252.8600006103516,124.13999938964844,166.02000427246094,70.69000244140625,158.6699981689453,106.6500015258789,134.44000244140622,7.3400001525878915,36.810001373291016
2020-03-18,246.6699981689453,101.88999938964844,142.97000122070312,55.04999923706055,140.02000427246094,103.5500030517578,137.02000427246094,6.690000057220459,33.11999893188477
2020-03-19,244.77999877929688,97.70999908447266,155.22000122070312,57.38999938964844,149.49000549316406,100.33999633789062,137.50999450683594,7.170000076293945,34.43000030517578
2020-03-20,229.2400054931641,95.01000213623048,158.41000366210938,59.38999938964844,138.41000366210938,95.38999938964844,124.88999938964844,7.269999980926514,32.740001678466804
2020-03-23,224.3699951171875,105.62000274658205,139.53999328613278,54.22000122070313,134.97000122070312,94.7699966430664,117.87000274658205,7.489999771118164,31.45000076293945
2020-03-24,246.8800048828125,127.68000030517578,152.25999450683594,66.55000305175781,153.60000610351562,105.4800033569336,132.72000122070312,8.119999885559082,35.439998626708984
2020-03-25,245.5200042724609,158.72999572753906,156.3300018310547,69.26999664306639,155.1300048828125,105.8499984741211,131.53999328613278,7.8400001525878915,37.290000915527344
2020-03-26,258.44000244140625,180.5500030517578,174.83999633789062,76.37999725341797,165.7899932861328,112.88999938964844,136.17999267578122,7.9000000953674325,38.81999969482422
2020-03-27,247.7400054931641,162.0,171.33999633789062,68.77999877929689,158.33999633789062,108.02999877929688,133.24000549316406,7.559999942779541,36.95000076293945
2020-03-30,254.80999755859372,152.27999877929688,173.99000549316406,71.94999694824219,159.6199951171875,112.93000030517578,137.74000549316406,8.510000228881836,37.5
2020-03-31,254.2899932861328,149.13999938964844,172.91000366210938,72.45999908447266,154.58999633789062,110.93000030517578,136.50999450683594,8.979999542236328,37.97000122070313
2020-04-01,240.91000366210938,130.69999694824222,166.1999969482422,68.55999755859375,145.2899932861328,105.13999938964844,133.13999938964844,8.470000267028809,37.52999877929688
2020-04-02,244.92999267578125,123.2699966430664,168.57000732421875,76.12000274658203,149.92999267578125,110.0,137.91000366210938,8.119999885559082,40.400001525878906
2020-04-03,241.41000366210938,124.5199966430664,173.74000549316406,75.11000061035156,146.92999267578125,106.33999633789062,133.78999328613278,8.399999618530272,39.209999084472656
2020-04-06,262.47000122070307,148.77000427246094,182.44000244140625,80.38999938964844,158.22999572753906,114.81999969482422,140.69999694824222,9.460000038146973,40.47000122070313
2020-04-07,259.42999267578125,141.5800018310547,176.80999755859375,80.91999816894531,166.02000427246094,114.94000244140624,144.60000610351562,9.539999961853027,41.2400016784668
2020-04-08,266.07000732421875,146.8699951171875,180.97000122070312,85.9800033569336,176.9600067138672,119.29000091552734,148.99000549316406,9.84000015258789,43.849998474121094
2020-04-09,267.989990234375,151.83999633789062,190.16000366210938,84.30999755859375,184.25999450683597,121.5,147.77999877929688,10.15999984741211,43.13000106811523
2020-04-13,273.25,147.3300018310547,182.67999267578125,84.91000366210938,179.17999267578125,121.1500015258789,146.39999389648438,10.329999923706056,42.7599983215332
2020-04-14,287.04998779296875,141.0,188.07000732421875,84.61000061035156,178.22999572753906,123.91000366210938,150.13999938964844,10.5600004196167,42.43000030517578
2020-04-15,284.42999267578125,145.97999572753906,184.97999572753903,82.48999786376953,178.52000427246094,118.69000244140624,145.16000366210938,10.0600004196167,40.47999954223633
2020-04-16,286.69000244140625,134.24000549316406,187.33999633789062,79.98999786376953,177.0399932861328,115.7300033569336,144.89999389648438,10.359999656677246,39.150001525878906
2020-04-17,282.79998779296875,154.0,191.6199951171875,87.16999816894531,183.4900054931641,120.12000274658205,146.4600067138672,10.270000457763672,43.22000122070313
2020-04-20,276.92999267578125,143.61000061035156,184.6199951171875,83.56999969482422,180.3999938964844,120.41000366210938,143.6699981689453,10.31999969482422,41.18000030517578
